nombre,tipo,sitio_web,logo_fuente,notas
Clima Cálido,promotora,,,no encontrado — llénalo tú
Meditatio Sonus,promotora,https://www.instagram.com/meditatio_sonus,https://www.instagram.com/meditatio_sonus,ciclo de arte sonoro (A. Constantini & M. Armas) — más promotora/colectivo
Dance Your Name,promotora,,,"promotora techno CDMX confirmada (trajo Silent Servant, Marsman); falta handle IG"
Cuatro Cuartos Bestial Crew,colectivo,,,no encontrado — llénalo tú
Mixtlán,promotora,https://ra.co/promoters/mx/mexicocity,,listada en RA como promotora CDMX; falta IG
Lichi,colectivo,,,no encontrado — llénalo tú
wvwv,label,https://wvwv.bandcamp.com/,https://wvwv.bandcamp.com/,netlabel CDMX (aka Wavawava)
Ultradisko,promotora,,,no encontrado — llénalo tú
funk,club,,,"club/venue CDMX (Fünk) confirmado vía eventos RA; confirma IG"
honest allies,promotora,,,no encontrado — llénalo tú
capricho,promotora,,,no encontrado — llénalo tú
Noche Negra,promotora,,,no encontrado — llénalo tú
Melodykrafter,label,https://melodykrafter.bandcamp.com/,https://melodykrafter.bandcamp.com/,label CDMX (también melodykrafter.info)
Avant Garde Institute,colectivo,https://avant-garde-institute.bandcamp.com/,https://avant-garde-institute.bandcamp.com/,proyecto de Andrés Pereda — CDMX experimental
Makossa Disco,label,,,no confirmado mexicano (Makossa es de Italia) — confirma
Rat Back Crew,colectivo,https://ratbackcreww.bandcamp.com/,https://www.instagram.com/ratback_crew,colectivo CDMX
Saundo,promotora,https://www.instagram.com/saundo.studio_,https://www.instagram.com/saundo.studio_,CDMX; confirma (parece studio/DJ)
Ssensorial,promotora,,,no encontrado — llénalo tú
Amigos de Amigos,festival,,,"posible 'Sonidos Amigos' (festival desde 2016); confirma si es el mismo"
Antimateria Sonora,colectivo,https://antimateriasonora.bandcamp.com/,https://www.instagram.com/antimateria_sonora,label/colectivo ambient-drone CDMX
UFO Camp!,festival,,,festival electrónico (Guanajuato) real; sin sitio único — confirma IG
Mental,festival,,,genérico — no encontrado — llénalo tú
Rey Vinilo,label,https://reyvinilo.com/,https://www.instagram.com/reyvinilopressing,es prensadora de vinilo CDMX (¿label o dealer?)
ephemera,label,,,no confirmado mexicano — llénalo tú
Casa Del Lago,colectivo,https://casadellago.unam.mx/,https://casadellago.unam.mx/,recinto cultural UNAM (¿venue más que colectivo?)
Jungle Empire,colectivo,https://soundcloud.com/jungleempiremx,https://www.instagram.com/godfathamx,colectivo DnB/jungle MX desde 2001
low freq mx,colectivo,https://www.instagram.com/lowfreqmx,https://www.instagram.com/lowfreqmx,label/colectivo jungle-DnB MX (fund. 2009)
MVMPMP,label,,,no encontrado — llénalo tú
rei room,venue,,,no buscado a fondo — llénalo tú
relink data,venue,,,no buscado a fondo — llénalo tú
deposito sonoro,medios,https://depositosonoro.com/,https://www.instagram.com/depositosonoro,medio musical CDMX (fund. 2018)
mwamwa,label,,,no buscado a fondo — llénalo tú
cjantal,label,,,no buscado a fondo — llénalo tú
Raxtion Music,label,https://raxtion.bandcamp.com/,https://www.instagram.com/raxtionmusic,label MX-Colombia (desde 2020)
Artistas Desconocidos,label,,,no encontrado — llénalo tú
infinite machine,label,https://infinitemachine.bandcamp.com/,https://www.instagram.com/infinite.machine,label CDMX (fund. Montreal 2011)
maricas records,label,https://maricasrecords.bandcamp.com/,https://www.instagram.com/maricxsrecords,OJO: el conocido es de Barcelona — confirma si es otro MX
ensamble,label,,,genérico — no encontrado — llénalo tú
duro,label,,,genérico — no encontrado — llénalo tú
UAUH,label,,,no buscado a fondo — llénalo tú
TEN TOES,label,,,no buscado a fondo — llénalo tú
tra tra,label,,,genérico — no encontrado — llénalo tú
dark side records mx,label,,,no encontrado — llénalo tú
CDisidente,label,,,no buscado a fondo — llénalo tú
